Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
San dimas,Chrome 86.0.4240.198,,,2020-12-03 15:06:37,2020-12-03 15:09:10,2m - 33.167s,PASSED
,,,,,,,
Test Cases/Embarques/Barras/Produccion (San Dimas)/Barras embarcadas/Consulta de embarques/Validacion de error lote embarque,Chrome 86.0.4240.198,,,2020-12-03 15:06:38,2020-12-03 15:07:19,41.527s,PASSED
"callTestCase(findTestCase(""Login/Log-in""), [:], CONTINUE_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-12-03 15:06:38,2020-12-03 15:07:08,29.802s,PASSED
"click(findTestObject(""Embarques/Barras/Produccion/Consulta de Embarque/button_Embarques""))",Chrome 86.0.4240.198,,,2020-12-03 15:07:08,2020-12-03 15:07:09,1.507s,PASSED
"click(findTestObject(""Object Repository/Embarques/Barras/Produccion/Consulta de Embarque/button_Barras""))",Chrome 86.0.4240.198,,,2020-12-03 15:07:09,2020-12-03 15:07:10,0.558s,PASSED
"click(findTestObject(""Object Repository/Embarques/Barras/Produccion/Consulta de Embarque/button_Produccin""))",Chrome 86.0.4240.198,,,2020-12-03 15:07:10,2020-12-03 15:07:10,0.582s,PASSED
"click(findTestObject(""Embarques/Barras/Produccion/Consulta de Embarque/button_Barras_Embarcadas""))",Chrome 86.0.4240.198,,,2020-12-03 15:07:10,2020-12-03 15:07:11,0.608s,PASSED
"click(findTestObject(""Embarques/Barras/Produccion/Consulta de Embarque/button_Consulta de Embarques""))",Chrome 86.0.4240.198,,,2020-12-03 15:07:11,2020-12-03 15:07:12,0.813s,PASSED
"click(findTestObject(""Object Repository/Embarques/Barras/Produccion/Consulta de Embarque/input_De_Fecha""))",Chrome 86.0.4240.198,,,2020-12-03 15:07:12,2020-12-03 15:07:13,0.785s,PASSED
"doubleClick(findTestObject(""Ventas/Barras/Ensayes oficiales/Captura/button_Previous Month""))",Chrome 86.0.4240.198,,,2020-12-03 15:07:13,2020-12-03 15:07:13,0.792s,PASSED
"click(findTestObject(""Object Repository/Embarques/Barras/Produccion/Consulta de Embarque/div_1""))",Chrome 86.0.4240.198,,,2020-12-03 15:07:13,2020-12-03 15:07:14,0.636s,PASSED
"click(findTestObject(""Object Repository/Embarques/Barras/Produccion/Consulta de Embarque/button_Consultar""))",Chrome 86.0.4240.198,,,2020-12-03 15:07:14,2020-12-03 15:07:15,0.685s,PASSED
"waitForElementPresent(findTestObject(""Error""), 2)",Chrome 86.0.4240.198,,,2020-12-03 15:07:15,2020-12-03 15:07:18,3.536s,PASSED
closeBrowser(),Chrome 86.0.4240.198,,,2020-12-03 15:07:18,2020-12-03 15:07:19,0.817s,PASSED
,,,,,,,
Test Cases/Embarques/Barras/Produccion (San Dimas)/Barras embarcadas/Consulta de volumen/Validacion de error volumen embarque,Chrome 86.0.4240.198,,,2020-12-03 15:07:19,2020-12-03 15:07:55,35.681s,PASSED
"callTestCase(findTestCase(""Login/Log-in""), [:], CONTINUE_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-12-03 15:07:19,2020-12-03 15:07:45,25.320s,PASSED
"click(findTestObject(""Object Repository/Embarques/Barras/Produccion/Consulta de volumen/button_Embarques""))",Chrome 86.0.4240.198,,,2020-12-03 15:07:45,2020-12-03 15:07:46,1.580s,PASSED
"click(findTestObject(""Object Repository/Embarques/Barras/Produccion/Consulta de volumen/button_Barras""))",Chrome 86.0.4240.198,,,2020-12-03 15:07:46,2020-12-03 15:07:47,0.538s,PASSED
