Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/31December""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:47:19,2020-12-09 17:47:20,0.706s,PASSED
delay(2),Chrome 87.0.4280.88,,,2020-12-09 17:47:20,2020-12-09 17:47:22,2.003s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Aceptar""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:47:22,2020-12-09 17:47:22,0.410s,PASSED
closeBrowser(CONTINUE_ON_FAILURE),Chrome 87.0.4280.88,,,2020-12-09 17:47:22,2020-12-09 17:47:23,0.986s,PASSED
,,,,,,,
Test Cases/Catalogos/Transportistas/Transportistas/Captura/Create_transpor,Chrome 87.0.4280.88,,,2020-12-09 17:47:23,2020-12-09 17:48:13,49.998s,PASSED
"callTestCase(findTestCase(""Login/Log-in""), [""unidad"":""San Dimas""], CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:47:23,2020-12-09 17:48:02,39.232s,PASSED
"click(findTestObject(""Catalogos/button_Catlogos""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:02,2020-12-09 17:48:03,0.443s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Transpor""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:03,2020-12-09 17:48:03,0.595s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Transpor_2""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:03,2020-12-09 17:48:04,0.641s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Btn_capturaT""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:04,2020-12-09 17:48:05,0.713s,PASSED
"setText(findTestObject(""Catalogos/Transportistas/Transportistas/razon_social""), razon_s, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:05,2020-12-09 17:48:06,0.875s,PASSED
"setText(findTestObject(""Catalogos/Transportistas/Transportistas/contrato""), contrato, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:06,2020-12-09 17:48:06,0.452s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/fecha""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:06,2020-12-09 17:48:07,0.700s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/year""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:07,2020-12-09 17:48:07,0.633s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/Year2025""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:07,2020-12-09 17:48:08,0.676s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/month""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:08,2020-12-09 17:48:09,0.649s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/december""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:09,2020-12-09 17:48:09,0.593s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/31December""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:09,2020-12-09 17:48:10,0.695s,PASSED
delay(2),Chrome 87.0.4280.88,,,2020-12-09 17:48:10,2020-12-09 17:48:12,2.003s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Aceptar""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:12,2020-12-09 17:48:12,0.351s,PASSED
