Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
San dimas,Chrome 86.0.4240.198,,,2020-12-02 16:16:26,2020-12-02 16:20:46,4m - 19.170s,PASSED
,,,,,,,
Test Cases/Embarques/Barras/Packing list/Validacion de error packing,Chrome 86.0.4240.198,,,2020-12-02 16:16:27,2020-12-02 16:17:07,39.888s,PASSED
"callTestCase(findTestCase(""Login/Log-in""), [""unidad"":unidad], CONTINUE_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-12-02 16:16:28,2020-12-02 16:16:57,29.359s,PASSED
"click(findTestObject(""Object Repository/Embarques/Barras/Produccion/Consulta de Embarque/button_Embarques""))",Chrome 86.0.4240.198,,,2020-12-02 16:16:57,2020-12-02 16:16:58,1.474s,PASSED
"click(findTestObject(""Object Repository/Embarques/Barras/Produccion/Consulta de Embarque/button_Barras""))",Chrome 86.0.4240.198,,,2020-12-02 16:16:58,2020-12-02 16:16:59,0.534s,PASSED
"click(findTestObject(""Embarques/Barras/Packing List/button_PackingList""))",Chrome 86.0.4240.198,,,2020-12-02 16:16:59,2020-12-02 16:17:00,0.748s,PASSED
"click(findTestObject(""Embarques/Barras/Packing List/input_De_Fecha""))",Chrome 86.0.4240.198,,,2020-12-02 16:17:00,2020-12-02 16:17:01,0.773s,PASSED
"doubleClick(findTestObject(""Embarques/Barras/Packing List/button_previusMonth""))",Chrome 86.0.4240.198,,,2020-12-02 16:17:01,2020-12-02 16:17:01,0.886s,PASSED
"click(findTestObject(""Embarques/Barras/Packing List/div_1""))",Chrome 86.0.4240.198,,,2020-12-02 16:17:01,2020-12-02 16:17:02,0.582s,PASSED
"click(findTestObject(""Embarques/Barras/Packing List/button_Consultar""))",Chrome 86.0.4240.198,,,2020-12-02 16:17:02,2020-12-02 16:17:03,0.601s,PASSED
"waitForElementPresent(findTestObject(""Error""), 2)",Chrome 86.0.4240.198,,,2020-12-02 16:17:03,2020-12-02 16:17:06,3.586s,PASSED
closeBrowser(),Chrome 86.0.4240.198,,,2020-12-02 16:17:06,2020-12-02 16:17:07,0.804s,PASSED
,,,,,,,
Test Cases/Embarques/Barras/Packing list/Validacion de error packing,Chrome 86.0.4240.198,,,2020-12-02 16:17:07,2020-12-02 16:17:43,35.610s,PASSED
